Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
5,3,208,27,16,254,,,207,70,3.6,2.9,,23116,D,2,HO,121,
74,9,78,5,17,276,,,77,84,3,2.7,,25576,C,2,HO,-54,
156,3,287,216,,65,,P,286,48,3.7,3,,29889,A,2,HO,196,
162,9,246,,,,,C,245,48,4.2,2.7,,17045,E,2,HO,58,
174,3,170,39,4,242,,,169,116,2.2,2.5,,33206,B,2,HO,136,
197,2,357,211,,70,,P,356,44,4.6,3.3,,28440,B,2,HO,164,
266,3,100,9,13,272,,,99,106,3.8,3.1,,23850,B,2,HO,440,
276,8,294,250,,31,28,P,294,,,,,24127,C,1,HO,77,
279,7,444,244,,37,85,P,444,,,,,30517,A,1,HO,,
348,9,149,31,12,250,,,148,78,4.2,2.6,,23960,C,2,HO,-20,
386,3,119,47,,234,,P,118,112,2.4,2.5,,26356,C,2,HO,112,
517,2,224,106,,175,,P,223,54,3.4,2.8,,26787,C,2,HO,200,
519,7,58,,,,,,57,108,3.6,2.9,,,,2,HO,200,
615,2,288,194,,87,,P,287,32,3.5,3.4,,28039,C,2,HO,20,
653,2,264,222,,59,28,P,264,,,,,23609,D,1,HO,237,
751,7,258,100,,181,,P,257,60,3.4,2.9,,27187,C,2,HO,-46,
777,2,70,,,,,,69,100,2.8,2.8,,29406,B,2,HO,93,
845,2,87,12,10,269,,,86,84,2.9,2.8,,24304,D,2,HO,254,
846,7,278,190,,91,,P,277,50,2.9,3.1,,26072,C,2,HO,181,
847,7,277,131,,150,,P,276,70,6.1,4.7,,27569,C,2,HO,-41,
865,6,347,155,,126,,P,346,56,3.1,3.3,,28485,B,2,HO,-28,
867,5,201,127,,154,,P,200,66,3.3,3.1,,24592,D,2,HO,-33,
1017,7,232,120,,161,,P,231,88,3,2.8,,31113,B,2,HO,195,
1035,1,427,,,,,C,426,60,4.4,3.3,,,X,7,HO,,
1048,7,153,,,,,C,152,78,3.3,2.8,,22281,D,2,HO,,
1058,6,294,229,,52,7,P,294,,,,,27718,B,1,HO,232,
1163,6,297,229,,52,7,P,297,,,,,31028,B,1,HO,,
1233,6,309,176,,105,,P,308,38,3.7,3.3,,18906,E,2,HO,-8,
1245,6,313,242,,39,21,P,313,,,,,27364,C,1,HO,142,
1307,6,283,118,,163,,P,282,50,3,3,,26103,C,2,HO,-132,
1311,5,297,149,,132,,P,296,60,4,3.6,,30084,A,2,HO,,166
1328,5,345,145,,136,,P,344,64,4.6,3.1,,23680,D,2,HO,,39
1331,1,210,102,,179,,P,209,64,3.6,3.2,,,X,7,HO,,
1344,6,293,98,,185,,P,292,46,3,3.3,,21727,C,2,AY,,
1356,6,270,194,,87,,P,269,36,3.9,2.9,,17563,E,2,HO,,
1379,5,198,41,2,240,,,197,64,4.3,3.1,,20396,D,2,HO,,
1412,6,162,66,,215,,P,161,84,3.1,3.2,,28266,B,2,HO,47,
1416,5,422,61,,220,,P,421,84,4.2,3.5,,27326,A,2,HO,30,
1436,6,58,,,,,,57,128,3.4,3.1,,,,2,HO,264,
1447,5,279,180,,101,,P,278,56,4.1,3.9,,20939,E,2,HO,,-26
1464,5,518,221,,60,,P,517,60,3.3,3.4,,30950,A,2,HO,25,
1477,5,337,236,,45,14,P,337,,,,,24521,D,1,HO,-179,
1500,6,91,19,3,262,,,90,94,3.8,3,,23121,C,2,HO,4,
1505,5,85,12,10,269,,,84,128,3.3,2.4,,31248,A,2,HO,-19,
1508,5,285,,,,,C,284,40,4,3.3,,29673,A,2,HO,319,
1509,5,303,,,,,C,302,58,3.6,3.4,,18379,E,2,HO,-8,
1520,6,25,,,,,,24,92,,,,,,2,HO,21,
1530,5,186,13,9,268,,,185,34,3.3,2.6,,21947,E,2,HO,125,
1542,5,300,264,,17,42,P,300,,,,,30837,A,1,HO,-48,
1549,5,277,88,,193,,P,276,56,3,2.9,,32076,B,2,HO,80,
1554,5,226,,,,,C,225,72,5.1,3.5,,19892,D,2,HO,162,
1573,5,220,50,14,,,N,219,72,3.6,3,,30239,B,2,HO,190,
1611,5,310,239,,42,28,P,310,,,,,22715,D,1,HO,-5,
1627,5,182,18,4,263,,,181,72,3.7,3,,23562,D,2,HO,-43,
1644,5,243,11,11,270,,,242,60,3.7,3.2,,23247,D,2,HO,51,
1647,5,272,77,,206,,P,271,48,4.5,3.6,,21553,C,2,XX,-132,
1654,5,317,126,,155,,P,316,72,3.3,2.7,,26342,D,2,HO,128,
1662,5,287,215,,68,,P,286,22,3.1,3.2,,21439,C,2,XX,117,
1679,5,193,80,,201,,P,192,2,3.3,2.8,,32288,A,2,HO,-52,
1694,5,8,,,,,,7,94,,,,,,2,HO,,-94
1695,5,136,,,,,C,135,56,3,3.6,,16334,D,2,JE,157,
1703,5,340,159,,122,,P,339,70,3.7,3.4,,30210,B,2,HO,,-17
1722,5,252,160,,121,,P,251,16,3.4,3,,18112,E,2,HO,-93,
1748,4,328,247,,34,56,P,328,,,,,31475,A,1,HO,99,
1756,4,413,173,,108,,P,412,32,5,4,,31518,A,2,HO,438,
1761,4,242,166,,115,,P,241,38,3.8,3.6,,17494,E,2,HO,277,
1771,5,247,173,,108,,P,246,76,3.5,3,,25632,C,2,HO,190,
1773,5,252,137,,144,,P,251,72,3.1,2.9,,27200,C,2,HO,-1,
1775,4,289,97,,184,,P,288,64,4.3,3.4,,26197,B,2,HO,145,
1786,4,166,82,,199,,P,165,112,2.9,2.7,,26837,D,2,HO,52,
1814,5,195,53,,228,,P,194,64,3.8,3.2,,23446,C,2,HO,181,
1820,5,240,145,,138,,P,239,96,4.1,3.2,,30871,A,2,XX,220,
1852,4,340,271,,10,56,P,340,,,,,25499,C,1,HO,66,
1858,4,330,163,,118,,P,329,80,4.3,3.6,,29131,B,2,HO,54,
1861,5,81,5,17,276,,,80,114,1.9,2.7,,,,2,HO,83,
1864,5,189,,,,,C,188,64,3.7,3.2,,23156,D,2,HO,140,
1872,4,250,,,,,C,249,86,3.4,2.9,,25138,D,2,HO,104,
1880,5,3,,,,,,2,,,,,,,2,HO,77,
1884,4,51,,,,,,50,100,5.6,2.6,,,,2,XX,,-25
1901,4,270,222,,59,28,P,270,,,,,21576,D,1,HO,,
1911,5,22,,,,,,21,102,,,,,,2,XX,,
1925,4,309,138,,143,,P,308,76,4.1,3.4,,28261,B,2,HO,225,
1931,5,4,,,,,,3,34,,,,,,2,HO,156,
1954,4,316,126,,155,,P,315,76,3.1,2.7,,27513,D,2,HO,-45,
1966,4,178,66,,215,,P,177,122,2.8,2.6,,34210,A,2,HO,230,
1970,4,363,214,,67,,P,362,66,4.3,3.4,,32596,A,2,HO,242,
1974,4,342,27,16,254,,,341,64,5.2,3.7,,33006,A,2,HO,223,
1975,4,309,242,,39,28,P,309,,,,,24323,C,1,HO,114,
1985,4,297,257,,24,35,P,297,,,,,30306,B,1,HO,270,
1986,4,225,26,17,255,,,224,64,4.1,3.4,,22982,C,2,HO,,
1987,5,101,26,17,255,,,100,116,3.5,2.7,,24342,C,2,HO,55,
1993,5,78,5,17,276,,,77,96,4.7,2.9,,24560,B,2,HO,,22
1995,4,274,201,,80,,P,273,54,4.2,3.5,,29156,A,2,HO,260,
2010,4,337,247,,34,28,P,337,,,,,33639,B,1,HO,173,
2011,4,283,208,,73,,P,282,46,4.3,2.9,,27754,B,2,HO,-79,
2020,5,9,,,,,,8,80,,,,,,2,HO,,194
2021,4,302,266,,14,56,P,302,,,,,22605,A,1,JE,-73,
2027,4,272,96,,185,,P,271,72,3.3,3.6,,28307,B,2,HO,,185
2031,4,321,171,,110,,P,320,38,3.2,3.3,,29183,B,2,HO,,-64
2036,4,156,40,3,243,,,155,94,3.3,3.1,,24068,B,2,XX,68,
2040,4,300,237,,44,28,P,300,,,,,26438,B,1,HO,208,
2057,4,47,,,,,,46,120,3.1,3.1,,,,2,HO,23,
2072,4,244,173,,110,,P,243,64,4.3,3.6,,20615,C,2,XX,,
2076,4,97,5,17,275,,,96,74,4.3,3.2,,19519,B,2,JE,147,
2080,4,174,12,10,269,,,173,80,3,3,,25620,C,2,HO,79,
2083,4,273,257,,24,56,P,273,,,,,21210,E,1,HO,235,
2088,4,315,248,,33,56,P,315,,,,,26830,B,1,HO,174,
2089,5,17,,,,,,16,100,,,,,,2,HO,294,
2090,4,295,,,,,C,294,72,4,3.4,,25534,A,2,JE,,21
2091,4,319,241,,40,21,P,319,,,,,23589,D,1,HO,151,
2094,4,298,222,,59,,P,297,16,4,3.3,,20735,E,2,HO,92,
2104,4,292,271,,10,49,P,292,,,,,27997,B,1,HO,180,
2106,4,292,264,,17,42,P,292,,,,,24063,D,1,HO,,-86
2108,4,277,196,,87,,P,276,72,4.2,3.4,,24153,B,2,XX,395,
2115,4,210,138,,143,,P,209,36,3.1,3,,20441,E,2,HO,231,
2126,4,239,166,,115,,P,238,48,4,3.2,,23907,D,2,HO,213,
2127,4,293,134,,147,,P,292,74,3.8,3.4,,30044,B,2,HO,,
2132,4,158,30,13,251,,,157,88,2.8,2.9,,30592,B,2,HO,,
2134,4,235,52,,229,,P,234,104,3.1,3.2,,26916,C,2,HO,283,
2138,4,49,,,,,,48,112,2.5,2.9,,,,2,HO,174,
2143,5,142,68,,213,,P,141,106,2.9,2.9,,27470,C,2,HO,145,
2144,3,259,188,,93,,P,258,56,4,2.8,,27309,B,2,HO,280,
2154,4,291,111,,170,,P,290,80,3.9,3.2,,25896,B,2,HO,263,
2155,4,295,200,,81,28,P,295,,,,,21335,E,1,HO,-10,
2159,3,384,192,,89,28,P,384,,,,,29334,B,1,HO,-109,
2160,4,251,180,,101,,P,250,44,2.7,2.8,,24212,E,2,HO,107,
2161,4,273,156,,125,,P,272,48,4.2,3.9,,25118,B,2,HO,330,
2162,4,239,79,,202,,P,238,80,3.5,2.9,,25736,C,2,HO,158,
2166,4,294,166,,115,,P,293,34,4.5,3.5,,22265,D,2,HO,125,
2172,4,280,182,,99,,P,279,40,2.9,2.6,,26644,D,2,HO,64,
2175,4,272,109,,172,,P,271,40,2.8,3,,21891,D,2,HO,266,
2176,4,178,103,,180,,P,177,56,3.6,3.1,,15039,E,2,AY,,
2178,4,46,,,,,,45,28,3.1,4.5,,,,2,HO,,
2179,4,187,13,9,268,,,186,80,4.3,3.3,,23644,B,2,HO,338,
2190,4,259,92,,189,,P,258,64,3.5,2.9,,29111,B,2,HO,167,
2195,4,260,187,,94,,P,259,44,4.5,3.5,,23293,C,2,HO,158,
2207,4,257,187,,96,,P,256,76,3.9,2.9,,30454,A,2,XX,243,
2208,4,23,,,,,,22,126,,,,,,2,HO,183,
2209,4,274,115,,166,,P,273,,,,,27539,C,2,HO,61,
2212,4,290,215,,66,,P,289,20,4.1,3.3,,22700,D,2,HO,237,
2216,4,261,187,,94,,P,260,66,3.5,3.4,,28552,B,2,HO,350,
2220,3,296,264,,17,42,P,296,,,,,34517,A,1,HO,434,
2222,4,124,28,15,253,,,123,70,5.1,3.2,,18267,E,2,HO,263,
2233,3,414,236,,45,28,P,414,,,,,31695,A,1,HO,181,
2235,4,254,122,,159,,P,253,44,5.3,3.8,,22211,D,2,HO,194,
2240,4,161,41,2,240,,,160,92,4,3.3,,25473,B,2,HO,317,
2243,4,255,,,,,C,254,84,3.1,3.1,,28476,C,2,HO,258,
2251,4,257,,,,,C,256,68,4.1,2.5,,25240,A,2,JE,106,
